,profit,vote_average
104,24362666.2,0.77
105,76727138.89,0.75
106,43821390.82,0.73
107,277505428.2,0.79
108,34549747.74,0.6
109,185432861.5,0.65
110,289284818.9,0.79
111,67562421.52,0.48
112,11823423.77,0.6599999999999999
113,26349344.39,0.64
114,19728227.09,0.73
115,-7752016.929,0.6799999999999999
116,5282624.44,0.8099999999999999
117,1041937.7590000001,0.62
118,62641298.09,0.74
119,7293564.315,0.8
120,5209688.797,0.6900000000000001
121,16650165.39,0.65
122,-1698665.0,0.6799999999999999
123,20046357.14,0.6599999999999999
124,71744857.14,0.64
125,40092714.29,0.6900000000000001
126,89681071.43,0.62
127,14433377.14,0.71
128,24213889.29,0.7
129,44086626.76,0.72
130,33842138.42,0.8400000000000001
131,-791872.6971,0.5
132,2716242288.0,0.7
133,-13925883.67,0.82
134,56016176.92,0.78
135,5495380115.0,0.71
136,59879361.54,0.78
137,347686.6154,0.6
138,210060663.5,0.7
139,482898.0769,0.6
140,17153476.51,0.71
141,-5032300.176,0.8
142,2414490.385,0.5
143,84024265.38,0.63
144,68888599.62,0.77
145,35448727.81,0.72
146,303223547.2,0.64
147,17198460.57,0.73
148,300011734.1,0.65
149,158940385.8,0.74
150,29154745.32,0.64
151,7523805.243,0.63
152,271327226.6,0.74
153,217644876.2,0.7
154,784400438.2,0.72
155,9254280.449,0.35
156,98749943.82,0.79
157,45048783.9,0.67
158,68184485.02,0.6799999999999999
159,72449382.31,0.76
160,1717609.219,0.41
161,216568119.0,0.7
162,81119696.28,0.8099999999999999
163,333853879.0,0.8300000000000001
164,184362946.1,0.73
165,980157.4349,0.36
166,9512194.535,1.0
167,93348327.14,0.63
168,14935732.34,0.8
169,-6383177.279,0.73
170,-12135282.53,0.45
171,37.47865672,0.77
172,23583444.74,0.72
173,58560401.12,0.74
174,54344052.24,0.7
175,24895197.72,0.77
176,28108992.54,0.77
177,273263500.0,0.75
178,12463031.25,0.73
179,71547031.25,0.75
180,1012736688.0,0.76
181,7385500.0,0.71
182,332347500.0,0.6599999999999999
183,54468062.5,0.6900000000000001
184,65084718.75,0.61
185,154633906.3,0.73
186,13293900.0,0.73
187,73855000.0,0.5700000000000001
188,96011500.0,0.65
189,46.159375,0.65
190,142085455.5,0.62
191,17139616.58,0.48
192,5808524.911,0.8400000000000001
193,53617153.02,0.8300000000000001
194,267615764.7,0.6599999999999999
195,182465.2941,0.5
196,12324792.07,0.78
197,3406018.8239999996,0.45
198,126598974.0,0.78
199,4778852.941000001,0.53
200,221747465.3,0.82
201,19984294.12,0.71
202,42662123.53,0.61
203,7567726.426,0.42000000000000004
204,62129567.01,0.62
205,190842631.6,0.82
206,22478822.51,0.64
207,388309793.8,0.6900000000000001
208,80034963.06,0.8
209,299937131.5,0.7
210,62776750.0,0.75
211,264621409.1,0.8400000000000001
212,186633581.1,0.82
213,77198435.81,0.67
214,24644116.05,0.76
215,34781712.84,0.67
216,407200540.5,0.75
217,10010346.62,0.67
218,-34781712.84,0.71
219,79332612.43,0.7
