,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10
1129,24000000.0,2642983.0,ONE NIGHT STAND,5.7,42.0,tt0119832,1997,102,Drama,,,,New Line Cinema,,,,,nm0001214,,,,,nm0001214,,,nm0000648,nm0000176,nm0001492,nm0001840,,,,,,,nm0617147,nm0829176,nm0002336,nm0808780,nm0435859,,,,,
1130,64000000.0,74608570.0,RANDOM HEARTS,5.4,139.0,tt0156934,1999,133,Drama,Romance,,,Columbia Pictures,,,,,nm0001628,nm0690431,nm0012258,nm0525104,,nm0001628,,,nm0000148,nm0000218,nm0001165,nm0001372,,,,,,,nm0694230,nm0006115,,,,,,,,
1131,25000000.0,70442940.0,THE HOUSE BUNNY,5.6,1178.0,tt0852713,2008,97,Romance,Comedy,,,Alta Loma Entertainment,Columbia Pictures,Relativity Media,Happy Madison Productions,,nm0937748,nm0527581,nm0809006,,,nm0937748,,,nm0267506,nm0004988,nm1297015,nm0993507,,,,,,,nm0184445,nm0316406,nm1009782,,,,,,,
1132,20000000.0,51249404.0,BROADCAST NEWS,6.8,183.0,tt0092699,1987,133,Comedy,Romance,,,Amercent Films,American Entertainment Partners L.P.,Gracie Films,20th Century Fox,,nm0000985,,,,,nm0000985,,,nm0000458,nm0000983,nm0000456,nm0698764,,,,,,,nm0006015,nm0000841,nm0548943,nm0741935,nm0004330,,,,,
1133,12000000.0,4000000.0,PLAYING GOD,5.7,49.0,tt0119906,1997,94,Drama,Action,Thriller,Crime,Touchstone Pictures,,,,,nm0809245,nm0933002,,,,nm0933002,,,nm0000141,nm0000459,nm0001401,nm0557219,,,,,,,nm0008953,nm0081046,nm0366880,nm0725072,,,,,,
1134,50000000.0,6808550.0,THE BIG BOUNCE,5.0,129.0,tt0315824,2004,88,Comedy,Crime,,,Shangri-La Entertainment,Material,Taormina Productions,,,nm0001465,nm0000786,nm0349406,,,nm0000786,,,nm0005562,nm0000151,nm0000641,nm1246371,,,,,,,nm0082893,nm0764822,nm0003392,,,,,,,
1135,14000000.0,16400000.0,"NEW YORK, NEW YORK",6.5,189.0,tt0076451,1977,155,Drama,Music,Romance,,United Artists,Winkler Films,,,,nm0711996,nm0552731,nm0000217,,,nm0000217,,,nm0591485,nm0000134,nm0822034,nm0697587,,,,,,,nm0153590,nm0005563,nm0004088,,,,,,,
1136,10000000.0,55089.0,INHALE,6.1,63.0,tt1196340,2010,83,Drama,Action,Thriller,,26 Films,,,,,nm0234600,nm0163177,nm1729756,nm0466349,,nm0466349,,,nm0000551,nm1208167,nm0001731,nm0000275,,,,,,,nm1401827,nm3034773,,,,,,,,
1137,16000000.0,14822346.0,SOUL PLANE,4.9,190.0,tt0367085,2004,86,Romance,Comedy,,,Metro-Goldwyn-Mayer,,,,,nm0954848,nm0855843,nm0933191,,,nm0855843,,,nm0002391,nm0004879,nm0000792,nm0366389,,,,,,,nm0748037,nm0501999,nm0753526,,,,,,,
1138,20000000.0,20211394.0,APPALOOSA,6.5,516.0,tt0800308,2008,115,Drama,Western,Crime,,New Line Cinema,Axon Films,Groundswell Productions,,,nm0662582,nm0461446,nm0000438,,,nm0000438,,,nm0000438,nm0001557,nm0000250,nm0000460,,,,,,,nm0805678,nm0063618,nm0005871,nm0385442,nm1003921,,,,,
1139,30000000.0,251495.0,DOMINION: PREQUEL TO THE EXORCIST,5.0,128.0,tt0449086,2005,117,Horror,Thriller,,,Morgan Creek Productions,,,,,nm0936537,nm0001707,nm0139627,,,nm0001707,,,nm0001745,nm0542759,nm0068755,nm1116863,,,,,,,nm0732708,nm0000823,nm1926687,,,,,,,
1140,55000000.0,14375181.0,ISHTAR,4.4,56.0,tt0093278,1987,107,Action,Adventure,Comedy,,Columbia Pictures,,,,,nm0561938,,,,,nm0561938,,,nm0000886,nm0000163,nm0000254,nm0001301,,,,,,,nm0006115,nm0005886,nm0162758,nm0722000,nm0745450,,,,,
1141,6000000.0,14717854.0,ORCA: THE KILLER WHALE,5.9,155.0,tt0076504,1977,92,Drama,Adventure,Horror,,Dino de Laurentiis Cinematografica,,,,,nm0006872,nm0898812,nm0001801,nm0027183,,nm0027183,,,nm0001321,nm0001648,nm0760225,nm0000137,,,,,,,nm0001553,nm0058021,,,,,,,,
1142,8000000.0,10600497.0,BROADWAY DANNY ROSE,7.3,216.0,tt0087003,1984,84,Comedy,,,,Orion Pictures Corporation,,,,,nm0000095,,,,,nm0000095,,,nm0000095,nm0001201,nm0287173,nm0056310,,,,,,,nm0339086,nm0932336,nm0607673,nm0100080,,,,,,
1143,30000000.0,34742066.0,TAKE THE LEAD,6.8,399.0,tt0446046,2006,118,Comedy,Music,Drama,,New Line Cinema,Tiara Blu Films,,,,nm0396817,nm0295107,,,,nm0295107,,,nm0000104,nm0114532,nm1861624,nm0005569,nm1564087,,,,,,nm0324216,nm0333376,nm0618558,nm0212832,nm0626124,,,,,
1144,2410000.0,10755447.0,MISSING IN ACTION 2: THE BEGINNING,5.5,120.0,tt0089604,1985,100,Action,War,,,Golan-Globus Productions,Cannon Group,,,,nm0082893,nm0506062,nm0393678,nm0798649,,nm0393678,,,nm0001569,nm0644902,nm0931736,nm0645191,,,,,,,nm0322946,nm0324875,,,,,,,,
1145,500000.0,745327.0,ANOTHER GAY MOVIE,5.8,74.0,tt0443431,2006,92,Comedy,Romance,,,Luna Filmproduktion,,,,,nm0436228,nm0827171,,,,nm0827171,,,nm1298546,nm1170394,nm0088098,nm1632070,,,,,,,nm1776792,nm0418809,nm0068877,nm0058458,,,,,,
1146,20000000.0,27074492.0,GHOST TOWN,6.4,491.0,tt0995039,2008,102,Comedy,Fantasy,Romance,,Spyglass Entertainment,Pariah,DreamWorks Pictures,,,nm0436960,nm0462895,,,,nm0462895,,,nm0315041,nm0001427,nm0000495,nm1994167,,,,,,,nm0689780,nm0952944,nm0002320,nm0782535,,,,,,
1147,9000000.0,985117.0,LEAVES OF GRASS,6.0,226.0,tt1151359,2009,105,Comedy,Crime,Thriller,,Leaves Productions,Nu Image,Grand Army Entertainment,Class 5 Films,Langley Films,nm0625789,,,,,nm0625789,,,nm0001570,nm0005392,nm3203035,nm2192439,,,,,,,nm0169896,nm0239301,nm0486524,nm0585958,nm0004582,,,,,
1148,11000000.0,38105395.0,THE SECRET LIFE OF BEES,7.4,271.0,tt0416212,2008,114,Adventure,Drama,,,Dune Entertainment III,Fox Searchlight Pictures,Overbrook Entertainment,,,nm1650330,nm0697656,,,,nm0697656,,,nm0266824,nm1617685,nm0001451,nm1006024,,,,,,,nm0489876,nm1857273,nm0795682,nm0000226,,,,,,
