,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10,profit,rev_budget_ratio
2698,12830284.671532847,47545369.19708029,GRAND HOTEL,7.0,137.0,tt0022958,1932,112,Drama,Romance,,,Metro-Goldwyn-Mayer,,,,,nm0062139,nm0051354,nm0237033,nm0941138,nm0332539,nm0332539,,,nm0001256,nm0000858,nm0001076,nm0000891,,,,,,,nm0200125,,,,,,,,,,34715084.525547445,3.7057142857142855
56,4616505.615384615,10082911.846153846,CONVENTION CITY,0.0,0.0,tt0023906,1933,69,Comedy,,,,First National Pictures,,,,,nm0590361,nm0562845,nm0158737,nm0520501,,nm0562845,,,nm0000951,nm0579663,nm0694090,nm0000802,,,,,,,nm0087533,nm0715969,,,,,,,,,5466406.230769231,2.184100418410042
2118,3863184.6153846155,42495030.76923077,SHE DONE HIM WRONG,5.9,42.0,tt0024548,1933,66,Comedy,,,,Paramount,,,,,nm0857710,nm0792514,nm0109148,,,nm0792514,,,nm0922213,nm0000026,nm0601698,nm0738042,nm0001935,nm0484439,,,,,nm0485702,,,,,,,,,,38631846.15384615,11.0
2807,8402426.538461538,41645130.15384615,DINNER AT EIGHT,6.9,36.0,tt0023948,1933,111,Comedy,Drama,,,Metro-Goldwyn-Mayer,,,,,nm0829330,nm0542534,nm0442151,nm0272209,nm0547966,nm0002030,,,nm0237597,nm0000858,nm0000891,nm0001318,,,,,,,,,,,,,,,,,33242703.615384616,4.95632183908046
2955,12980300.307692308,193159230.76923078,KING KONG,7.7,684.0,tt0024216,1933,100,Adventure,Drama,Horror,,RKO Radio Pictures,,,,,nm0330390,nm0187256,nm0741656,nm0908624,nm0774325,nm0774325,nm0178260,,nm0942039,nm0035877,nm0127677,nm0717046,,,,,,,,,,,,,,,,,180178930.46153846,14.880952380952381
548,193159.23076923078,34768661.538461536,DAMAGED LIVES,3.3,3.0,tt0028755,1933,61,Drama,,,,Weldon Pictures Corp.,,,,,nm0108961,nm0880618,nm0204499,,,nm0880618,,,nm0801597,nm0931208,nm0410271,nm0288646,,,,,,,nm0005874,nm0583301,,,,,,,,,34575502.307692304,179.99999999999997
2420,8479690.23076923,44059620.538461536,42ND STREET,6.9,71.0,tt0024034,1933,89,Music,Comedy,Romance,,Warner Bros. Pictures,,,,,nm0416861,nm0045800,nm0093456,nm0786827,nm0740622,nm0045800,,,nm0062828,nm0199841,nm0107575,nm0444528,,,,,,,nm0005835,,,,,,,,,,35579930.307692304,5.195899772209567
2659,8363794.692307692,61810953.84615385,GOLD DIGGERS OF 1933,7.5,53.0,tt0024069,1933,97,Comedy,Music,Drama,,Warner Bros. Pictures,,,,,nm0394479,nm0312510,nm0548993,nm0503777,nm0786827,nm0503777,,,nm0929925,nm0000951,nm0533956,nm0444528,,,,,,,,,,,,,,,,,53447159.15384616,7.390300230946883
2661,21517938.307692308,50414559.23076923,QUEEN CHRISTINA,7.3,45.0,tt0024481,1933,99,Drama,History,Romance,,Metro-Goldwyn-Mayer,,,,,nm0505996,nm0067103,nm0309567,nm0541149,nm0367814,nm0541149,,,nm0001256,nm0318105,nm0445246,nm0832011,,,,,,,,,,,,,,,,,28896620.923076924,2.342908438061041
1686,22798197.689230766,147380493.07692307,CAVALCADE,5.7,39.0,tt0023876,1933,112,Drama,,,,Fox Film Corporation,,,,,nm0075351,nm0002021,nm0515979,,,nm0515979,,,nm0944087,nm0111612,nm0640547,nm0612743,nm0580240,nm0115008,nm0683114,,,,,,,,,,,,,,124582295.3876923,6.46456772969126
2441,4242733.854925374,26666064.253731344,THE THIN MAN,7.7,187.0,tt0025878,1934,91,Comedy,Crime,Mystery,,Metro-Goldwyn-Mayer,,,,,nm0352443,nm0886754,nm0358591,nm0329304,,nm0886754,,,nm0001635,nm0001485,nm0001577,nm0671738,,,,,,,nm0834898,nm0002197,,,,,,,,,22423330.39880597,6.28511360022614
1534,17746143.95522388,20988047.761194028,THE PAINTED VEIL,6.5,11.0,tt0025617,1934,85,Drama,Romance,,,Metro-Goldwyn-Mayer,,,,,nm0576046,nm0560857,nm0092915,nm0826554,nm0280223,nm0092915,,,nm0001256,nm0003339,nm0107575,nm0645941,,,,,,,nm0834898,,,,,,,,,,3241903.8059701473,1.1826821541710664
2421,6090281.7164179105,84326977.6119403,IT HAPPENED ONE NIGHT,7.9,533.0,tt0025316,1934,105,Comedy,Romance,,,Columbia Pictures,,,,,nm0728307,nm0001008,nm0011343,,,nm0001008,,,nm0000022,nm0001055,nm0175369,nm0439850,nm0858977,,,,,,nm0907900,nm0369879,,,,,,,,,78236695.89552239,13.846153846153845
