,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10,profit,rev_budget_ratio
2893,177412.55434782608,74606010.46238042,OPEN WATER,5.4,615.0,tt0374102,2003,79,Drama,Thriller,Horror,,Plunge Pictures LLC,,,,,nm0448900,,,,,nm0448900,,,nm0752436,nm1047403,nm0825627,nm1677525,,,,,,,nm0490582,nm0006251,,,,,,,,,74428597.9080326,420.52272307692306
950,102353396.73913044,69794998.22561413,HOLLYWOOD HOMICIDE,5.2,317.0,tt0329717,2003,116,Action,Adventure,Comedy,Thriller,Revolution Studios,Columbia Pictures,,,,nm0043476,nm0005421,nm1226736,,,nm0005421,,,nm0000148,nm0001326,nm0913460,nm0000565,nm0000357,nm0113158,,,,,nm1018725,nm0943391,nm0677021,nm0786732,,,,,,,-32558398.513516307,0.68190212
1888,12964763.586956521,146121967.78307065,THE TEXAS CHAINSAW MASSACRE,6.1,1362.0,tt0324216,2003,98,Horror,,,,Focus Features,New Line Cinema,Next Entertainment,Platinum Dunes,Chainsaw Productions LLC,nm0001361,nm0377066,nm1197971,nm0466925,,nm1197971,,,nm0004754,nm0006958,nm0117420,nm0498713,nm0233562,nm0314514,nm1036181,,,,nm0000881,nm1153907,,,,,,,,,133157204.19611414,11.27070052631579
1796,177412554.3478261,373029760.2635435,BAD BOYS II,6.4,2842.0,tt0172156,2003,147,Adventure,Action,Comedy,Thriller,Don Simpson/Jerry Bruckheimer Films,Columbia Pictures,Sony Pictures,,,nm0005421,nm0000881,nm0926727,nm0303032,nm0821466,nm0000881,,,nm0000226,nm0001454,nm0005517,nm0003244,,,,,,,,,,,,,,,,,195617205.9157174,2.102611969230769
1103,51859054.347826086,268864607.41344565,SPY KIDS 3-D: GAME OVER,5.0,1207.0,tt0338459,2003,84,Action,Adventure,Comedy,Family,Dimension Films,,,,,nm0001675,,,,,nm0001675,,,nm0754512,nm0891786,nm0000104,nm0001303,nm0001544,nm0652089,,,,,nm0042882,,,,,,,,,,217005553.06561956,5.184525842105264
2511,54588478.26086956,193231372.80254346,GOTHIKA,6.0,1294.0,tt0348836,2003,98,Horror,Thriller,,,Dark Castle Entertainment,Columbia Pictures,Warner Bros. Pictures,,,nm0349406,nm0440913,,,,nm0440913,,,nm0000932,nm0004851,nm0000375,nm0001165,nm0002253,,,,,,nm1206265,nm1175949,nm0005428,nm0000709,,,,,,,138642894.5416739,3.5397830999999997
1881,35482510.86956522,123405996.08877717,FINAL DESTINATION 2,6.1,2155.0,tt0309593,2003,90,Horror,Mystery,,,New Line Cinema,Zide-Perry Productions,,,,nm0107774,nm0344259,nm0254786,nm0714695,,nm0254786,,,nm0176882,nm0005123,nm0865302,nm0484678,,,,,,,nm0675013,nm0956015,,,,,,,,,87923485.21921195,3.4779386538461536
1743,75059157.60869566,315861494.66152716,AMERICAN WEDDING,6.1,2400.0,tt0328828,2003,96,Comedy,Romance,,,Loumolo & Co.,Universal Pictures,LivePlanet,Zide-Perry Productions,,nm0245888,nm0381221,,,,nm0245888,,,nm0004755,nm0004989,nm0005405,nm0506405,,,,,,,nm0070454,nm0601031,nm0675013,nm0956015,,,,,,,240802337.0528315,4.208167327272727
3408,1091769.5652173914,85774.87589130436,THE MUDGE BOY,6.9,45.0,tt0339419,2003,94,Drama,Comedy,,,Showtime Independent Films,,,,,nm0121800,,,,,nm0121800,,,nm0386472,nm0420955,nm0347509,nm1032567,,,,,,,nm1198847,nm0072434,nm0652553,nm0953616,nm0002557,,,,,,-1005994.689326087,0.07856500000000001
3282,20470679.347826086,41266947.58010326,THE FIGHTING TEMPTATIONS,5.6,73.0,tt0191133,2003,123,Comedy,Music,Romance,,Paramount,,,,,nm0528718,nm0666392,nm0402804,nm0689385,,nm0528718,,,nm0000421,nm0461498,nm0258402,nm1328870,,,,,,,nm0301835,nm0428699,nm0575656,,,,,,,,20796268.232277177,2.0159051333333338
1872,81882717.39130434,101272909.24765761,THE CORE,5.6,886.0,tt0298814,2003,135,Action,Thriller,Adventure,Science Fiction,Paramount,David Foster Productions,HorsePower Entertainment,Core Productions,LivePlanet,nm0736966,nm0000750,nm0493548,,,nm0000750,,,nm0001173,nm0005476,nm0005148,nm0339304,,,,,,,nm0047489,nm0287759,nm0002366,nm0005793,nm0117741,nm0288670,nm0335835,nm0511979,nm0709056,,19390191.856353268,1.2368044500000002
3055,95529836.95652173,167749104.04285327,BIG FISH,7.8,4166.0,tt0319061,2003,125,Adventure,Fantasy,Drama,,Columbia Pictures,The Zanuck Company,Jinks/Cohen Company,Tim Burton Productions,,nm0000318,nm0041864,nm1180620,,,nm0000318,,,nm0000191,nm0001215,nm0001082,nm0001448,,,,,,,nm0169260,nm0423134,nm0005573,,,,,,,,72219267.08633153,1.7559865000000001
3516,40941358.69565217,20974117.494451087,ALEX & EMMA,5.2,122.0,tt0318283,2003,96,Comedy,Romance,,,Reiner / Greisman Productions,Epsilon Motion Pictures,Franchise Pictures,Escape Artists,,nm0001661,nm0505230,,,,nm0001661,,,nm0005561,nm0005028,nm0001601,nm0000521,,,,,,,nm0085542,nm0340112,nm0759627,nm0003299,,,,,,,-19967241.201201085,0.5122965666666667
2018,122296686.07728957,839383427.188163,THE INCREDIBLES,7.7,11328.0,tt0317705,2004,115,Action,Adventure,Animation,Family,Pixar,Walt Disney Pictures,,,,nm0083348,,,,,nm0083348,,,nm0005266,nm0000168,nm0000456,nm0005134,,,,,,,nm0907869,nm0315974,nm1285750,nm0510936,nm0524796,nm1733986,,,,,717086741.1108735,6.863501
2144,930518.2636315511,21536.180555849656,PERFECT OPPOSITES,6.3,9.0,tt0259567,2004,99,Comedy,Drama,Romance,,,,,,,nm0958597,nm0178251,,,,nm0178251,,,nm0376540,nm0005305,nm0934864,nm0005080,,,,,,,nm0588850,nm0003911,nm0005739,nm0171537,,,,,,,-908982.0830757014,0.023144285714285714
2310,132931180.518793,461871904.42910534,NATIONAL TREASURE,6.5,3799.0,tt0368891,2004,131,Adventure,Action,Thriller,Mystery,Walt Disney Pictures,Jerry Bruckheimer Films,Saturn Films,Junction Entertainment,,nm0005509,nm1469874,nm0043233,nm0926727,nm0467942,nm0005509,,,nm0000115,nm1208167,nm0058581,nm0000293,,,,,,,,,,,,,,,,,328940723.91031235,3.4745189400000003
1321,34562106.93488618,64556108.29270513,FAT ALBERT,4.5,128.0,tt0396592,2004,93,Comedy,Family,Fantasy,,Culver Studios,Davis Entertainment,,,,nm0456063,nm0959034,nm0001070,,,nm0959034,,,nm0860380,nm0695497,nm1217506,nm0396867,,,,,,,nm0204862,nm0006099,nm0254580,,,,,,,,29994001.357818954,1.867829076923077
1268,37220730.54526204,85668440.43809423,MIRACLE,7.1,303.0,tt0349825,2004,135,Drama,History,,,Walt Disney Pictures,,,,,nm1325865,nm0640334,,,,nm0640334,,,nm0000621,nm0165101,nm0922263,nm0001187,,,,,,,nm0161891,nm0336668,nm0006142,nm0831578,,,,,,,48447709.89283219,2.3016324285714287
2200,53172472.20751721,123510575.06774484,SECRET WINDOW,6.5,2055.0,tt0363988,2004,96,Mystery,Thriller,,,Pariah Entertainment Group,Grand Slam Productions,Columbia Pictures,,,nm0000175,nm0462895,,,,nm0462895,,,nm0000136,nm0004742,nm0001806,nm0000459,,,,,,,nm0689780,nm0001275,nm0952944,nm0002320,,,,,,,70338102.86022763,2.3228292749999997
1271,9305.18263631551,564638.4823716251,PRIMER,6.9,1158.0,tt0390384,2004,77,Science Fiction,Drama,Thriller,,,,,,,nm1503403,,,,,nm1503403,,,nm1503403,nm1503383,nm1503463,nm0881420,,,,,,,,,,,,,,,,,555333.2997353097,60.67999999999999
2304,132931180.518793,143703192.26654315,HIDALGO,6.6,592.0,tt0317648,2004,136,Western,Adventure,,,Touchstone Pictures,Casey Silver Productions,Dune Films,,,nm0002653,nm0299301,,,,nm0002653,,,nm0001557,nm0001725,nm0733196,nm0518321,nm0000931,,,,,,nm0798661,nm0006133,nm0426224,nm0198395,,,,,,,10772011.747750148,1.0810345000000001
909,11299150.344097406,6648759.036977237,CLUB DREAD,5.1,182.0,tt0331953,2004,104,Comedy,Horror,,,Coconut Pete Productions,Fox Searchlight Pictures,Broken Lizard Industries,,,nm0815418,nm0501399,nm0151540,nm0831479,,nm0151540,,,nm0151540,nm0000200,nm0373571,nm0529050,,,,,,,nm0673270,nm0056550,nm0003394,nm0393678,,,,,,,-4650391.307120169,0.58843
945,74441461.09052408,76068392.51577553,WALKING TALL,6.0,702.0,tt0351977,2004,86,Adventure,Drama,Action,Thriller,Hyde Park Entertainment,Mandeville Films,Burke/Samples/Foster Productions,WWE Studios,Cub Eight Productions,nm0505522,nm0002718,nm0458318,nm0316888,nm0106230,nm0106230,,,nm0425005,nm1008709,nm0424216,nm0100889,,,,,,,nm1337238,nm1692073,,,,,,,,,1626931.425251454,1.0218551785714285
2307,159517416.62255162,461583473.0122392,"I, ROBOT",6.8,7356.0,tt0343818,2004,115,Action,Science Fiction,,,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,Davis Entertainment,Laurence Mark Productions,Canlaws Productions,20th Century Fox,nm0326040,nm0001920,nm0001639,nm0899113,,nm0001639,,,nm0000226,nm0005256,nm0339304,nm0876138,nm0564277,,,,,,nm0056283,nm0204862,nm0001937,nm0077110,nm0324041,nm0590970,nm0761486,,,,302066056.3896876,2.8936242999999995
1290,106344944.41503441,127754792.49416621,THE MANCHURIAN CANDIDATE,6.4,773.0,tt0368008,2004,129,Drama,Thriller,Mystery,,Clinica Estetico,Paramount,Scott Rudin Productions,,,nm1212988,nm0002417,nm0001129,nm0043480,nm0174410,nm0001129,,,nm0000243,nm0000630,nm0000658,nm0253708,nm0089397,nm0453248,nm0488970,nm0493684,nm0942482,,nm0381245,nm0005714,nm0042992,nm0386882,nm0419889,nm0505278,nm0608859,nm1507013,nm1692290,nm1848589,21409848.079131797,1.2013245499999998
2886,39879354.155637905,288146473.56337744,MILLION DOLLAR BABY,7.9,5217.0,tt0405159,2004,132,Drama,,,,Lakeshore Entertainment,Malpaso Productions,Epsilon Motion Pictures,Albert S. Ruddy Productions,Warner Bros. Pictures,nm0000142,nm0101801,nm0353673,,,nm0000142,,,nm0005476,nm0000142,nm0000151,nm0059431,,,,,,,nm0742347,nm0748665,nm0827869,nm0185088,nm0604263,,,,,,248267119.40773952,7.2254548666666665
3178,37220730.54526204,136063545.59961355,DAWN OF THE DEAD,6.9,1987.0,tt0363547,2004,101,Fantasy,Horror,Action,Drama,New Amsterdam Entertainment,Strike Entertainment,Metropolitan Filmexport,Toho-Towa,Cruel & Unusual Films,nm0348181,nm0811583,nm0001681,,,nm0811583,,,nm0001631,nm0000609,nm0001616,nm0916617,nm0095751,,,,,,nm0008953,nm0628080,nm0748283,,,,,,,,98842815.05435151,3.655585035714286
2881,26586236.103758603,96053579.9125569,ETERNAL SUNSHINE OF THE SPOTLESS MIND,8.1,8090.0,tt0338013,2004,108,Science Fiction,Drama,Romance,,Focus Features,Anonymous Content,This Is That Productions,,,nm1410028,nm0327273,nm0442109,,,nm0327273,,,nm0000120,nm0000701,nm0929489,nm0004423,,,,,,,nm0106835,nm0326512,nm0109726,nm0475578,nm0652020,nm1028107,nm1757754,,,,69467343.8087983,3.6129062999999997
919,11963806.24669137,31819614.384097405,HAROLD & KUMAR GO TO WHITE CASTLE,6.5,1182.0,tt0366551,2004,88,Comedy,Adventure,,,New Line Cinema,,,,,nm0500444,nm1376383,nm1375358,,,nm0500444,,,nm0158626,nm0671980,nm0256121,nm0863999,nm0005221,nm0305519,nm0929609,,,,nm1144042,nm0788513,nm0457598,nm0002946,nm0197703,nm0424681,nm0520696,,,,19855808.137406036,2.6596564444444444
1311,46525913.181577556,29291162.30293277,LITTLE BLACK BOOK,5.3,218.0,tt0361841,2004,107,Comedy,Romance,Drama,,Blue Star Pictures,Revolution Studios,,,,nm0141812,nm0068183,nm0403541,,,nm0403541,,,nm0005261,nm0515296,nm0000456,nm0000870,,,,,,,nm0326063,nm0771834,nm0792061,,,,,,,,-17234750.878644787,0.6295666285714285
2146,3987935.41556379,9044658.791487558,WOMAN THOU ART LOOSED,6.2,6.0,tt0399901,2004,94,Drama,,,,,,,,,nm0776317,nm0841772,nm0288055,,,nm0776317,,,nm0253708,nm0090225,nm0222643,,,,,,,,nm0415890,nm0134253,nm1085142,nm0675929,,,,,,,5056723.375923768,2.268005333333333
915,33.23279512969825,94.38113816834304,ANACONDAS: THE HUNT FOR THE BLOOD ORCHID,5.1,433.0,tt0366174,2004,97,Adventure,Action,Horror,Thriller,Middle Fork Productions,Screen Gems,,,,nm0514546,nm0258390,nm0163177,nm0143596,nm0061829,nm0514546,,,nm0004820,nm0834380,nm0126021,nm0582257,nm0724757,,,,,,nm0364045,,,,,,,,,,61.14834303864479,2.8400000000000003
2253,99698385.38909476,261187014.55994704,50 FIRST DATES,6.7,4383.0,tt0343660,2004,99,Comedy,Romance,,,Happy Madison Productions,Anonymous Content,Flower Films,Columbia Pictures,,nm0781842,nm1286500,,,,nm0781842,,,nm0001191,nm0000106,nm0001705,nm0000276,,,,,,,nm0316406,nm0326512,nm0433339,nm0144841,nm0263989,,,,,,161488629.1708523,2.61977176
907,39879354.155637905,17282724.41238221,WICKER PARK,6.7,292.0,tt0324554,2004,114,Drama,Mystery,Romance,Thriller,Lakeshore Entertainment,Metro-Goldwyn-Mayer,,,,nm0101625,nm0006476,nm0590813,,,nm0006476,,,nm0001326,nm1208167,nm0000498,nm0126284,,,,,,,nm0482764,nm0524342,nm0742347,nm0816292,,,,,,,-22596629.743255693,0.4333752333333333
1137,21268988.883006882,19703519.518380094,SOUL PLANE,4.9,190.0,tt0367085,2004,86,Romance,Comedy,,,Metro-Goldwyn-Mayer,,,,,nm0954848,nm0855843,nm0933191,,,nm0855843,,,nm0002391,nm0004879,nm0000792,nm0366389,,,,,,,nm0748037,nm0501999,nm0753526,,,,,,,,-1565469.3646267876,0.926396625
811,192750211.75224987,34322778.96679195,THE ALAMO,5.8,169.0,tt0318974,2004,137,Western,History,War,,Imagine Entertainment,Touchstone Pictures,,,,nm0092018,nm0300866,nm0359387,,,nm0359387,,,nm0000598,nm0000671,nm0248408,nm0000574,,,,,,,nm0000165,nm0425741,nm0001980,,,,,,,,-158427432.7854579,0.1780686965517241
818,25256924.29857067,92561467.16583377,WITHOUT A PADDLE,5.5,344.0,tt0364751,2004,95,Action,Adventure,Comedy,Thriller,De Line Pictures,Paramount,,,,nm0638218,nm0325214,nm0499343,nm0745861,nm0109359,nm0109359,,,nm0000498,nm0001293,nm1009277,nm1677499,,,,,,,,,,,,,,,,,67304542.86726311,3.6647956842105267
1134,66465590.2593965,9050685.89121228,THE BIG BOUNCE,5.0,129.0,tt0315824,2004,88,Comedy,Crime,,,Shangri-La Entertainment,Material,Taormina Productions,,,nm0001465,nm0000786,nm0349406,,,nm0000786,,,nm0005562,nm0000151,nm0000641,nm1246371,,,,,,,nm0082893,nm0764822,nm0003392,,,,,,,,-57414904.368184224,0.136171
2244,7975870.83112758,158340333.6173584,FAHRENHEIT 9/11,7.1,760.0,tt0361596,2004,122,Documentary,,,,Fellowship Adventure Group,BIM Distribuzione,,,,nm0601619,,,,,nm0601619,,,,,,,,,,,,,nm0601619,nm0124133,nm0000255,nm0005567,nm0194365,nm0323359,nm1345020,nm0257373,nm0725063,nm1651785,150364462.7862308,19.8524195
2892,3589141.8740074113,21259171.915325567,BEFORE SUNSET,7.7,1557.0,tt0381681,2004,80,Drama,Romance,,,Warner Independent Pictures (WIP),Castle Rock Entertainment,Detour Film Production,,,nm0471811,nm0000500,,,,nm0000500,,,nm0000160,nm0000365,nm0229943,nm1195302,,,,,,,nm0908323,nm0199679,nm0010471,nm0322204,,,,,,,17670030.041318156,5.92319074074074
3627,23927612.49338274,86498866.84004235,BARBERSHOP 2:  BACK IN BUSINESS,5.7,129.0,tt0337579,2004,106,Comedy,Drama,,,Metro-Goldwyn-Mayer,,,,,nm0114197,nm0838198,nm1119609,,,nm0838198,,,nm0001084,nm0147825,nm1073992,nm0001451,,,,,,,nm0308672,nm0854052,nm0863387,,,,,,,,62571254.346659616,3.6150228888888893
791,33232795.12969825,36802018.59561673,DIRTY DANCING: HAVANA NIGHTS,6.2,348.0,tt0338096,2004,86,Drama,Romance,,,Lions Gate Films,Miramax,Lawrence Bender Productions,Havana Nights LLC,Artisan Entertainment,nm0002982,nm0945026,nm0755969,nm0272704,nm1568308,nm0272704,,,nm0526019,nm0304801,nm0000688,nm0805476,,,,,,,nm0004744,,,,,,,,,,3569223.4659184776,1.10740064
772,22598300.68819481,171538211.79564318,MEAN GIRLS,7.1,5162.0,tt0377092,2004,97,Comedy,,,,Broadway Video,Paramount,M.G. Films,,,nm1577281,nm0914134,,,,nm0914134,,,nm0517820,nm1057932,nm1046097,nm0275486,nm0005218,nm0135221,nm0291881,,,,nm0584427,nm0448843,nm0645401,nm0108629,,,,,,,148939911.10744837,7.590757117647058
1104,664655.9025939651,802828.559560614,MEAN CREEK,6.8,192.0,tt0377091,2004,90,Crime,Drama,,,Whitewater Films,,,,,nm1096524,,,,,nm1096524,,,nm0191412,nm0445987,nm1310709,nm0605080,nm0669681,,,,,,nm0426287,nm0742819,nm0787500,nm0354453,nm0576960,,,,,,138172.656966649,1.207886
767,79758708.31127581,81550350.77437268,AFTER THE SUNSET,6.2,371.0,tt0367479,2004,97,Action,Comedy,Crime,Drama,New Line Cinema,Contrafilm,Firm Films,,,nm1033788,nm0711840,nm0742194,,,nm0711840,,,nm0000112,nm0000161,nm0000437,nm0000332,nm0395203,,,,,,nm0004927,nm0827731,nm1246087,nm0939167,,,,,,,1791642.463096872,1.0224632833333334
1081,49184536.791953415,150327186.22458974,WHITE CHICKS,6.7,1721.0,tt0381707,2004,109,Comedy,,,,Columbia Pictures,Revolution Studios,Wayans Bros. Entertainment,Gone North Productions,,nm0811360,nm0568377,nm0177348,nm0005540,,nm0005540,,,nm0005541,nm0915465,nm0005311,nm0005533,nm0613147,,,,,,nm0023315,nm0562598,,,,,,,,,101142649.43263632,3.056391216216216
3132,199396770.7781895,1222752519.8788035,SHREK 2,7.0,6742.0,tt0298148,2004,93,Adventure,Animation,Comedy,Family,DreamWorks Animation,Pacific Data Images,DreamWorks Pictures,,,nm0825308,nm0011470,nm0826425,nm0038432,nm0830294,nm0011470,nm0038432,nm0970447,nm0000196,nm0000552,nm0000139,nm0000267,nm0766837,,,,,,,,,,,,,,,,1023355749.100614,6.132258386666666
3604,23927612.49338274,22203314.29564849,CATCH THAT KID,5.3,162.0,tt0337917,2004,91,Family,Action,Adventure,,Fox 2000 Pictures,Mad Chance,Mediastream Dritte Film GmbH & Co. Beteiligungs KG,Splendid Productions,Nimbus Film,nm0517179,nm0294505,nm0104973,nm1064048,nm0943308,nm0294505,,,nm0829576,nm0730168,nm0000884,nm0088298,,,,,,,nm1627651,,,,,,,,,,-1724298.1977342516,0.9279368888888888
1248,19939677.077818953,19763561.873996824,RAISE YOUR VOICE,6.3,496.0,tt0361696,2004,103,Music,Drama,Romance,,Brookwell-McNamara Entertainment,New Line Cinema,FilmEngine,ChickFlick Productions,,nm1112597,nm0573732,nm1368026,,,nm0573732,,,nm0240381,nm0179173,nm0000360,nm1268888,,,,,,,nm0112335,nm0228690,nm0722603,nm0003791,nm0378364,nm0601597,,,,,-176115.20382212847,0.9911676
1188,39879354.155637905,81428218.92295924,FRIDAY NIGHT LIGHTS,6.9,279.0,tt0390022,2004,118,Drama,,,,Imagine Entertainment,Friday Night Lights,MDBF Filmgesellschaft mbH & Company KG,Universal Pictures,,nm0169173,nm0084334,nm0000916,,,nm0000916,,,nm0000671,nm0379596,nm1035682,nm0085407,nm0437283,,,,,,nm0004976,nm1146294,nm0718687,nm0924270,nm2583828,,,,,,41548864.76732133,2.0418640333333333
1192,22598300.68819481,22571844.72464796,WIN A DATE WITH TAD HAMILTON!,5.7,307.0,tt0335559,2004,95,Comedy,Romance,,,DreamWorks Pictures,,,,,nm0525659,nm0505741,,,,nm0525659,,,nm0098378,nm0241049,nm0333410,nm0001447,,,,,,,nm0279651,nm0926824,nm0790481,nm0172818,,,,,,,-26455.963546849787,0.9988292941176471
877,38550042.35044997,153672737.02754366,THE NOTEBOOK,7.9,6627.0,tt0332280,2004,123,Romance,Drama,,,New Line Cinema,,,,,nm0817023,nm0505230,nm0764982,nm0001024,,nm0001024,,,nm0001687,nm0001258,nm1046097,nm0331516,nm0175305,,,,,,nm0365036,nm0425741,,,,,,,,,115122694.67709368,3.98631824137931
884,59819031.23345685,87030747.09159873,TAKING LIVES,6.2,724.0,tt0364045,2004,103,Action,Crime,Mystery,Thriller,Village Roadshow Pictures,Atmosphere Entertainment MM,Warner Bros. Pictures,,,nm1373865,nm0142286,nm0092578,,,nm0142286,,,nm0001401,nm0000160,nm0000662,nm0001687,,,,,,,nm0004799,nm0325927,nm0001275,,,,,,,,27211715.858141884,1.4549006444444446
2742,86405267.33721545,171355424.77587083,BLADE: TRINITY,5.8,2204.0,tt0359013,2004,113,Science Fiction,Action,Horror,Thriller,Marvel Enterprises,New Line Cinema,Amen Ra Films,Shawn Danielle Productions Ltd.,Imaginary Forces,nm0333060,nm0938379,nm0170160,,,nm0333060,,,nm0000648,nm0001434,nm0000205,nm0005351,,,,,,,nm0291293,nm0365036,nm1014697,nm0246985,nm0715563,,,,,,84950157.43865538,1.983159476923077
1211,146224298.5706723,138183904.2738327,HOME ON THE RANGE,5.9,1107.0,tt0299172,2004,76,Animation,Family,,,Walt Disney Pictures,,,,,nm0998551,nm1713427,nm0505946,nm0448208,nm0278181,nm0998551,nm0278181,,nm0001132,nm0000421,nm0000236,nm0001642,,,,,,,nm0524710,,,,,,,,,,-8040394.296839595,0.9450132818181818
3598,3987935.41556379,7873513.82212811,NEVER DIE ALONE,5.8,65.0,tt0354766,2004,88,Action,Crime,Drama,Thriller,White Orchid Films,ContentFilm,Fearon Entertainment,Bloodline Films,Visionbox Pictures,nm0324786,nm1326240,nm0225416,,,nm0225416,,,nm0229422,nm0000274,nm1013003,nm0796676,,,,,,,nm0131947,nm0241183,nm0508732,,,,,,,,3885578.4065643195,1.9743333333333333
895,79758708.31127581,99089171.09395975,LADDER 49,6.3,394.0,tt0349710,2004,115,Drama,Action,Thriller,,Beacon Communications,Touchstone Pictures,Beacon Pictures,Casey Silver Productions,Fantail Films Inc.,nm0171474,nm0751221,,,,nm0751221,,,nm0001618,nm0000237,nm0057150,nm0001598,,,,,,,nm0798661,nm0743919,nm0141677,nm0807573,nm0005371,,,,,,19330462.78268394,1.2423617833333331
896,53172472.20751721,126483267.2024616,THE PRINCESS DIARIES 2: ROYAL ENGAGEMENT,6.5,1877.0,tt0368933,2004,113,Comedy,Drama,Family,Romance,Walt Disney Pictures,,,,,nm0005190,nm0722274,nm0920859,nm0127690,,nm0005190,,,nm0004266,nm0089485,nm0000267,nm0001185,,,,,,,nm0153744,nm0001365,,,,,,,,,73310794.9949444,2.3787358749999994
1212,19939677.077818953,2544523.4608893595,A DIRTY SHAME,5.1,111.0,tt0365125,2004,89,Comedy,,,,Fine Line Features,This Is That Productions,Killer Films,John Wells Productions,City Lights Pictures,nm0000691,,,,,nm0000691,,,nm0001808,nm0001389,nm0004757,nm0424216,,,,,,,nm0394046,nm0882927,nm0003392,nm0003205,nm0937800,,,,,,-17395153.616929594,0.12761106666666666
3100,106344944.41503441,686779557.8796877,MEET THE FOCKERS,6.2,2869.0,tt0290002,2004,115,Comedy,Romance,,,Universal Pictures,Everyman Pictures,Tribeca Productions,DreamWorks Pictures,,nm0005366,nm0836001,nm0405190,nm0322839,nm0357453,nm0005366,,,nm0001774,nm0000134,nm0001100,nm0001632,,,,,,,nm0854941,,,,,,,,,,580434613.4646533,6.4580367375
757,99698385.38909476,488223018.50732136,SHARK TALE,6.0,3919.0,tt0307453,2004,90,Animation,Action,Comedy,Family,DreamWorks Animation,DreamWorks Pictures,,,,nm0074426,nm0073688,nm0421776,nm1224299,nm0042006,nm0074426,nm0421776,nm1224299,nm0000226,nm0000134,nm0000250,nm0001401,,,,,,,,,,,,,,,,,388524633.1182266,4.897000253333334
2223,53172472.20751721,165807100.62539968,RAY,7.4,908.0,tt0350258,2004,152,Drama,Music,,,Bristol Bay Productions,Universal Pictures,Anvil Films,Baldwin Entertainment Group,,nm0000431,nm1343803,,,,nm0000431,,,nm0004937,nm0005093,nm0913488,nm0694066,nm0001116,nm0005478,nm0254712,nm0404123,,,nm0049920,nm0049945,nm0071363,nm0035661,nm0811749,,,,,,112634628.41788247,3.11828835
1041,59819031.23345685,27927750.99131816,FLIGHT OF THE PHOENIX,5.9,466.0,tt0377062,2004,113,Action,Adventure,Drama,Thriller,Optional Pictures,Davis Entertainment,Aldrich Group,20th Century Fox,,nm0375355,nm0601382,nm0291082,nm0122653,,nm0566788,nm0601382,,nm0000598,nm0001584,nm0000610,nm0879085,nm0491402,,,,,,nm0017703,nm0089614,nm0956693,nm0956699,,,,,,,-31891280.24213869,0.4668706666666667
1035,39879354.155637905,186318724.7418952,THE SPONGEBOB SQUAREPANTS MOVIE,6.7,1372.0,tt0345950,2004,87,Animation,Comedy,Family,,Paramount,Nickelodeon Movies,United Plankton Pictures,,,nm0384722,nm0238757,nm0651706,nm0819711,nm0651692,nm0651706,nm0384864,,nm0444786,nm0001787,nm0120309,nm0492657,nm0265067,,,,,,nm0372935,,,,,,,,,,146439370.58625728,4.672059733333334
873,106344944.41503441,103687099.78137639,EXORCIST: THE BEGINNING,5.1,363.0,tt0204313,2004,114,Horror,Mystery,Thriller,,Dominion Productions,Morgan Creek Productions,,,,nm0087861,nm0139627,nm1149075,nm0001317,nm0936537,nm0001317,,,nm0001745,nm0001713,nm0195439,nm1576352,,,,,,,nm0732708,,,,,,,,,,-2657844.6336580217,0.975007325
3620,10634494.441503441,485376.93667548965,SHE HATE ME,5.3,49.0,tt0384533,2004,138,Comedy,Drama,,,40 Acres & A Mule Filmworks,,,,,nm0312796,nm0000490,,,,nm0000490,,,nm1107001,nm0913488,nm0000289,nm0000899,,,,,,,nm0392008,nm0837875,nm0005966,nm0508732,,,,,,,-10149117.504827952,0.045641749999999995
1772,34562106.93488618,120401337.35371096,ANCHORMAN: THE LEGEND OF RON BURGUNDY,6.8,2529.0,tt0357413,2004,94,Comedy,,,,Apatow Productions,,,,,nm0570912,,,,,nm0570912,,,nm0002071,nm0000775,nm0136797,nm0748620,,,,,,,nm0031976,nm0943391,nm0005630,nm0924544,nm0366812,,,,,,85839230.41882479,3.4836226153846157
2526,219336447.85600847,412929515.07558495,THE POLAR EXPRESS,6.6,3439.0,tt0338348,2004,100,Adventure,Animation,Family,Fantasy,Golden Mean,Playtone,ImageMovers,Castle Rock Entertainment,Shangri-La Entertainment,nm0115310,nm0885575,nm0000709,,,nm0000709,,,nm0000158,nm0178875,nm0005052,nm0366667,,,,,,,nm0324556,nm0823330,nm0854074,,,,,,,,193593067.21957648,1.8826306303030302
3445,664655.9025939651,230377.7117098994,BAPTISTS AT OUR BARBECUE,4.0,2.0,tt0391104,2004,92,Romance,Comedy,,,Mirror Films,Halestorm entertainment,,,,nm1151613,nm1520629,nm1516455,,,nm1151613,,,nm0027468,nm1235592,nm0107423,nm1376566,,,,,,,nm1516453,nm1729861,nm1026666,,,,,,,,-434278.1908840657,0.346612
